Time,Time Code,Country Name,Country Code,Ease of doing business rank (1=most business-friendly regulations) [IC.BUS.EASE.XQ],GDP per capita (current US$) [NY.GDP.PCAP.CD],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]
2019,YR2019,Albania,ALB,82,5396.2142432843,18.1443771903866
2019,YR2019,Andorra,AND,..,41328.6123929102,..
2019,YR2019,Armenia,ARM,47,4828.50488626598,22.2851709900772
2019,YR2019,Austria,AUT,27,50067.5857265892,25.5828349182075
2019,YR2019,Azerbaijan,AZE,28,4805.75371765917,14.2188526451777
2019,YR2019,Belarus,BLR,49,6837.76832136779,13.3015160119125
2019,YR2019,Belgium,BEL,46,46641.7214017087,22.6341104905571
2019,YR2019,Bosnia and Herzegovina,BIH,90,6094.72482322311,19.8265971899192
2019,YR2019,Bulgaria,BGR,61,9874.33632625168,20.4828150913513
2019,YR2019,Channel Islands,CHI,..,61281.3272247009,..
2019,YR2019,Croatia,HRV,51,15120.9029026824,21.0750360737608
2019,YR2019,Cyprus,CYP,54,29420,23.2993930370698
2019,YR2019,Czechia,CZE,41,23664.8478631108,14.7687696689181
2019,YR2019,Denmark,DNK,4,59592.9806886454,34.8340429595631
2019,YR2019,Estonia,EST,18,23424.4847073518,21.2929535588773
2019,YR2019,Faroe Islands,FRO,..,63203.7447848956,..
2019,YR2019,Finland,FIN,20,48629.8582283032,20.6684788499862
2019,YR2019,France,FRA,33,40494.8982936276,24.5146627776513
2019,YR2019,Georgia,GEO,7,4696.15058555612,23.1173329727924
2019,YR2019,Germany,DEU,22,46805.1384334439,11.4057701109061
2019,YR2019,Gibraltar,GIB,..,..,..
2019,YR2019,Greece,GRC,79,19143.8876174584,26.1803523188966
2019,YR2019,Greenland,GRL,..,53309.2035905065,..
2019,YR2019,Hungary,HUN,52,16786.2136399075,22.3640562554323
2019,YR2019,Iceland,ISL,26,68452.23622306,21.9320134156456
2019,YR2019,Ireland,IRL,24,80848.3019020489,17.7130081990219
2019,YR2019,Isle of Man,IMN,..,87152.4530176191,..
2019,YR2019,Italy,ITA,58,33673.7509627421,24.5767049036025
2019,YR2019,Kazakhstan,KAZ,25,9812.59552626324,11.78694274063
2019,YR2019,Kosovo,XKX,57,4416.02925267842,..
2019,YR2019,Kyrgyz Republic,KGZ,80,1451.51563835807,15.9638338680814
2019,YR2019,Latvia,LVA,19,17883.3494113217,21.3392266442121
2019,YR2019,Liechtenstein,LIE,..,167259.160311816,..
2019,YR2019,Lithuania,LTU,11,19615.5491450175,19.9659267029908
2019,YR2019,Luxembourg,LUX,72,112726.439672814,26.4537121940422
2019,YR2019,Moldova,MDA,48,4404.95042249597,17.656290127877
2019,YR2019,Monaco,MCO,..,199382.838585354,..
2019,YR2019,Montenegro,MNE,50,8909.6538759126,..
2019,YR2019,Netherlands,NLD,42,52476.2732533327,24.0454827779179
2019,YR2019,North Macedonia,MKD,17,6070.38805358275,17.0832810795126
2019,YR2019,Norway,NOR,9,76430.5889473338,23.2830044006887
2019,YR2019,Poland,POL,40,15700.0135796738,17.3364818404434
2019,YR2019,Portugal,PRT,39,23330.817288932,22.2011920067777
2019,YR2019,Romania,ROU,55,12957.9991142218,14.560555204924
2019,YR2019,Russian Federation,RUS,29,11536.2587890625,10.938399737976
2019,YR2019,San Marino,SMR,92,47287.3983948633,16.9127343335794
2019,YR2019,Serbia,SRB,44,7417.20660836868,24.0497349284773
2019,YR2019,Slovak Republic,SVK,45,19381.8905468746,18.78383560839
2019,YR2019,Slovenia,SVN,37,26042.4463468032,18.3159416451755
2019,YR2019,Spain,ESP,31,29581.5185513299,13.7486320897494
2019,YR2019,Sweden,SWE,10,51939.4297445291,27.4127018295836
2019,YR2019,Switzerland,CHE,36,84121.9310304414,9.90716918660662
2019,YR2019,Tajikistan,TJK,106,889.023371804416,..
2019,YR2019,Turkiye,TUR,34,9215.44087472889,16.524385163859
2019,YR2019,Turkmenistan,TKM,..,7344.88020350303,..
2019,YR2019,Ukraine,UKR,64,3661.45776367188,19.1961400966208
2019,YR2019,United Kingdom,GBR,8,42662.5353740311,25.0889355532268
2019,YR2019,Uzbekistan,UZB,69,1795.20176845657,12.616227036276
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/18/2023,,,,,,
